Colorado,Centennial city,100377
Colorado,Colorado Springs city,416427
Colorado,Commerce City city,45913
Colorado,Denver city,600158
Colorado,Fort Collins city,143986
Colorado,Grand Junction city,58566
Colorado,Greeley city,92889
Colorado,Lakewood city,142980
Colorado,Longmont city,86270
Colorado,Loveland city,66859
Colorado,Parker town,45297
Colorado,Pueblo city,106595
Colorado,Thornton city,118772
Colorado,Westminster city,106114
Connecticut,Bridgeport city,144229
Connecticut,Bristol city,60477
Connecticut,Danbury city,80893
Connecticut,Hartford city,124775
Connecticut,Meriden city,60868
Connecticut,Milford city (balance),51271
Connecticut,New Britain city,73206
Connecticut,New Haven city,129779
Connecticut,Norwalk city,85603
Connecticut,Stamford city,122643
Connecticut,Waterbury city,110366
Connecticut,West Haven city,55564
Delaware,Wilmington city,70851
District of Columbia,Washington city,601723
Florida,Apopka city,41542
Florida,Boca Raton city,84392
Florida,Bonita Springs city,43914
Florida,Boynton Beach city,68217
Florida,Bradenton city,49546
Florida,Cape Coral city,154305
Florida,Clearwater city,107685
Florida,Coconut Creek city,52909
Florida,Coral Gables city,46780
Florida,Coral Springs city,121096
Florida,Davie town,91992
Florida,Daytona Beach city,61005
Florida,Deerfield Beach city,75018
Florida,Delray Beach city,60522
Florida,Deltona city,85182
Florida,Doral city,45704
Florida,Fort Lauderdale city,165521
Florida,Fort Myers city,62298
Florida,Gainesville city,124354
Florida,Hialeah city,224669
Florida,Hollywood city,140768
Florida,Homestead city,60512
Florida,Jacksonville city,821784
Florida,Jupiter town,55156
Florida,Kissimmee city,59682
Florida,Lakeland city,97422
Florida,Largo city,77648
Florida,Lauderhill city,66887
Florida,Margate city,53284
Florida,Melbourne city,76068
Florida,Miami Beach city,87779
Florida,Miami city,399457
Florida,Miami Gardens city,107167
Florida,Miramar city,122041
Florida,North Miami city,58786
Florida,North Port city,57357
Florida,Ocala city,56315
Florida,Orlando city,238300
Florida,Palm Bay city,103190
Florida,Palm Beach Gardens city,48452
Florida,Palm Coast city,75180
Florida,Pembroke Pines city,154750
Florida,Pensacola city,51923
Florida,Pinellas Park city,49079
Florida,Plantation city,84955
Florida,Pompano Beach city,99845
Florida,Port Orange city,56048
Florida,Port St. Lucie city,164603
Florida,Sanford city,53570
Florida,Sarasota city,51917
Florida,St. Cloud city,35183
Florida,St. Petersburg city,244769
Florida,Sunrise city,84439
Florida,Tallahassee city,181376
Florida,Tamarac city,60427
Florida,Tampa city,335709
Florida,Wellington village,56508
Florida,Weston city,65333
Florida,West Palm Beach city,99919
Georgia,Albany city,77434
Georgia,Alpharetta city,57551
Georgia,Athens-Clarke County unified government (balance),115452
Georgia,Atlanta city,420003
Georgia,Augusta-Richmond County consolidated government (balance),195844
Georgia,Brookhaven city,(X)
Georgia,Columbus city,189885
Georgia,Johns Creek city,76728
Georgia,Macon-Bibb County,(X)
Georgia,Marietta city,56579
Georgia,Roswell city,88346
Georgia,Sandy Springs city,93853
Georgia,Savannah city,136286
Georgia,Smyrna city,51271
Georgia,South Fulton city,(X)
Georgia,Stonecrest city,(X)
Georgia,Valdosta city,54518
Georgia,Warner Robins city,66588
Hawaii,Urban Honolulu CDP,337256
Idaho,Boise City city,205671
Idaho,Caldwell city,46237
Idaho,Coeur d'Alene city,44137
Idaho,Idaho Falls city,56813
Idaho,Meridian city,75092
Idaho,Nampa city,81557
Idaho,Pocatello city,54255
Idaho,Twin Falls city,44125
Illinois,Arlington Heights village,75101
Illinois,Aurora city,197899
Illinois,Berwyn city,56657
Illinois,Bloomington city,76610
Illinois,Bolingbrook village,73366
Illinois,Champaign city,81055
Illinois,Chicago city,2695598
Illinois,Cicero town,83891
Illinois,Decatur city,76122
Illinois,Des Plaines city,58364
Illinois,Elgin city,108188
Illinois,Evanston city,74486
Illinois,Hoffman Estates village,51895
Illinois,Joliet city,147433
Illinois,Mount Prospect village,54167
Illinois,Naperville city,141853
Illinois,Normal town,52497
Illinois,Oak Lawn village,56690
Illinois,Oak Park village,51878
Illinois,Orland Park village,56767
Illinois,Palatine village,68557
Illinois,Peoria city,115007
Illinois,Rockford city,152871
Illinois,Schaumburg village,74227
Illinois,Skokie village,64784
Illinois,Springfield city,116250
Illinois,Tinley Park village,56703
Illinois,Waukegan city,89078
Illinois,Wheaton city,52894
Indiana,Anderson city,56129
Indiana,Bloomington city,80405
Indiana,Carmel city,79191
Indiana,Elkhart city,50949
Indiana,Evansville city,117429
Indiana,Fishers city,76794
Indiana,Fort Wayne city,253691
Indiana,Gary city,80294
Indiana,Greenwood city,49791
Indiana,Hammond city,80830
Indiana,Indianapolis city (balance),820445
Indiana,Kokomo city,45468
Indiana,Lafayette city,67140
Indiana,Mishawaka city,48252
Indiana,Muncie city,70085
Indiana,Noblesville city,51969
Indiana,South Bend city,101168
Indiana,Terre Haute city,60785
Indiana,West Lafayette city,29596
Iowa,Ames city,58965
Iowa,Ankeny city,45582
Iowa,Cedar Rapids city,126326
Iowa,Council Bluffs city,62230
Iowa,Davenport city,99685
Iowa,Des Moines city,203433
Iowa,Dubuque city,57637
Iowa,Iowa City city,67862
Iowa,Sioux City city,82684
Iowa,Waterloo city,68406
Iowa,West Des Moines city,56609
Kansas,Kansas City city,145786
Kansas,Lawrence city,87643
Kansas,Lenexa city,48190
Kansas,Manhattan city,52281
Kansas,Olathe city,125872
Kansas,Overland Park city,173372
Kansas,Shawnee city,62209
Kansas,Topeka city,127473
Kansas,Wichita city,382368
Kentucky,Bowling Green city,58067
Kentucky,Lexington-Fayette urban county,295803
Kentucky,Louisville/Jefferson County metro government (balance),597337
Kentucky,Owensboro city,57265
Louisiana,Baton Rouge city,229493
Louisiana,Bossier City city,61315
Louisiana,Kenner city,66702
Louisiana,Lafayette city,120623
Louisiana,Lake Charles city,71993
Louisiana,New Orleans city,343829
Louisiana,Shreveport city,199311
Maine,Portland city,66194
Maryland,Baltimore city,620961
Maryland,Bowie city,54727
Maryland,Frederick city,65239
Maryland,Gaithersburg city,59933
Maryland,Rockville city,61209
Massachusetts,Boston city,617594
Massachusetts,Brockton city,93810
Massachusetts,Cambridge city,105162
Massachusetts,Chicopee city,55298
Massachusetts,Fall River city,88857
Massachusetts,Framingham city,(X)
Massachusetts,Haverhill city,60879
Massachusetts,Lawrence city,76377
Massachusetts,Lowell city,106519
Massachusetts,Lynn city,90329
Massachusetts,Malden city,59450
Massachusetts,Medford city,56173
Massachusetts,Methuen Town city,47255
Massachusetts,New Bedford city,95072
Massachusetts,Newton city,85146
Massachusetts,Peabody city,51251
Massachusetts,Quincy city,92271
Massachusetts,Revere city,51755
Massachusetts,Somerville city,75754
Massachusetts,Springfield city,153060
Massachusetts,Taunton city,55874
Massachusetts,Waltham city,60632
Massachusetts,Weymouth Town city,53743
Massachusetts,Worcester city,181045
Michigan,Ann Arbor city,113934
Michigan,Battle Creek city,52347
Michigan,Dearborn city,98153
Michigan,Dearborn Heights city,57774
Michigan,Detroit city,713777
Michigan,Farmington Hills city,79740
Michigan,Flint city,102434
Michigan,Grand Rapids city,188040
Michigan,Kalamazoo city,74262
Michigan,Kentwood city,48707
Michigan,Lansing city,114297
Michigan,Livonia city,96942
Michigan,Novi city,55224
Michigan,Pontiac city,59515
Michigan,Rochester Hills city,70995
Michigan,Royal Oak city,57236
Michigan,Saginaw city,51508
Michigan,Southfield city,71739
Michigan,St. Clair Shores city,59715
Michigan,Sterling Heights city,129699
Michigan,Taylor city,63131
Michigan,Troy city,80980
Michigan,Warren city,134056
Michigan,Westland city,84094
Michigan,Wyoming city,72125
Minnesota,Apple Valley city,49084
Minnesota,Blaine city,57186
Minnesota,Bloomington city,82893
Minnesota,Brooklyn Park city,75781
Minnesota,Burnsville city,60306
Minnesota,Coon Rapids city,61476
Minnesota,Duluth city,86265
Minnesota,Eagan city,64206
Minnesota,Eden Prairie city,60797
Minnesota,Edina city,47941
Minnesota,Lakeville city,55954
Minnesota,Maple Grove city,61567
Minnesota,Minneapolis city,382578
Minnesota,Minnetonka city,49734
Minnesota,Plymouth city,70576
Minnesota,Rochester city,106769
Minnesota,St. Cloud city,65842
Minnesota,St. Paul city,285068
Minnesota,Woodbury city,61961
Mississippi,Gulfport city,67793
Mississippi,Jackson city,173514
Mississippi,Southaven city,48982
Missouri,Blue Springs city,52575
Missouri,Columbia city,108500
Missouri,Florissant city,52158
Missouri,Independence city,116830
Missouri,Joplin city,50150
Missouri,Kansas City city,459787
Missouri,Lee's Summit city,91364
Missouri,O'Fallon city,79329
Missouri,Springfield city,159498
Missouri,St. Charles city,65794
Missouri,St. Joseph city,76780
Missouri,St. Louis city,319294
Missouri,St. Peters city,52575
Montana,Billings city,104170
Montana,Great Falls city,58505
Montana,Missoula city,66788
Nebraska,Bellevue city,50137
Nebraska,Grand Island city,48520
Nebraska,Lincoln city,258379
Nebraska,Omaha city,408958
Nevada,Carson City,55274
Nevada,Henderson city,257729
Nevada,Las Vegas city,583756
Nevada,North Las Vegas city,216961
Nevada,Reno city,225221
Nevada,Sparks city,90264
New Hampshire,Manchester city,109565
New Hampshire,Nashua city,86494
New Jersey,Bayonne city,63024
New Jersey,Camden city,77344
New Jersey,Clifton city,84136
New Jersey,East Orange city,64270
New Jersey,Elizabeth city,124969
New Jersey,Hoboken city,50005
New Jersey,Jersey City city,247597
New Jersey,Newark city,277140
New Jersey,New Brunswick city,55181
New Jersey,Passaic city,69781
New Jersey,Paterson city,146199
New Jersey,Perth Amboy city,50814
New Jersey,Plainfield city,49808
New Jersey,Trenton city,84913
New Jersey,Union City city,66455
New Jersey,Vineland city,60724
New Jersey,West New York town,49708
New Mexico,Albuquerque city,545852
New Mexico,Las Cruces city,97618
New Mexico,Rio Rancho city,87521
New Mexico,Santa Fe city,67947
New York,Albany city,97856
New York,Buffalo city,261310
New York,Hempstead village,53891
New York,Mount Vernon city,67292
New York,New Rochelle city,77062
New York,New York city,8175133
New York,Niagara Falls city,50193
New York,Rochester city,210565
New York,Schenectady city,66135
New York,Syracuse city,145170
New York,Troy city,50129
New York,Utica city,62235
New York,White Plains city,56853
New York,Yonkers city,195976
North Carolina,Apex town,37476
North Carolina,Asheville city,83393
North Carolina,Burlington city,49963
North Carolina,Cary town,135234
North Carolina,Chapel Hill town,57233
North Carolina,Charlotte city,731424
North Carolina,Concord city,79066
North Carolina,Durham city,228330
North Carolina,Fayetteville city,200564
North Carolina,Gastonia city,71741
North Carolina,Greensboro city,269666
North Carolina,Greenville city,84554
North Carolina,High Point city,104371
North Carolina,Huntersville town,46773
North Carolina,Jacksonville city,70145
North Carolina,Kannapolis city,42625
North Carolina,Raleigh city,403892
North Carolina,Rocky Mount city,57477
